MEDIA TYPE,DATE,MENTIONS
Radio,2018-06-12 00:00:00,336
Radio,2018-06-13 00:00:00,290
Radio,2018-06-14 00:00:00,566
Radio,2018-06-15 00:00:00,437
Radio,2018-06-16 00:00:00,620
Radio,2018-06-17 00:00:00,757
Radio,2018-06-18 00:00:00,303
Radio,2018-06-19 00:00:00,264
Radio,2018-06-20 00:00:00,382
Radio,2018-06-21 00:00:00,233
Radio,2018-06-22 00:00:00,196
Radio,2018-06-23 00:00:00,229
Radio,2018-06-24 00:00:00,405
Radio,2018-06-25 00:00:00,199
Radio,2018-06-26 00:00:00,306
Radio,2018-06-27 00:00:00,254
Radio,2018-06-28 00:00:00,289
Radio,2018-06-29 00:00:00,431
Radio,2018-06-30 00:00:00,348
Radio,2018-07-01 00:00:00,381
Radio,2018-07-02 00:00:00,317
Radio,2018-07-03 00:00:00,215
Radio,2018-07-04 00:00:00,119
Radio,2018-07-05 00:00:00,210
Radio,2018-07-06 00:00:00,331
Radio,2018-07-07 00:00:00,519
Radio,2018-07-08 00:00:00,347
Radio,2018-07-09 00:00:00,295
Radio,2018-07-10 00:00:00,446
Radio,2018-07-11 00:00:00,212
Radio,2018-07-12 00:00:00,134
Online News,2018-06-12 00:00:00,13224
Online News,2018-06-13 00:00:00,12728
Online News,2018-06-14 00:00:00,13142
Online News,2018-06-15 00:00:00,9882
Online News,2018-06-16 00:00:00,4071
Online News,2018-06-17 00:00:00,3850
Online News,2018-06-18 00:00:00,10227
Online News,2018-06-19 00:00:00,11544
Online News,2018-06-20 00:00:00,12219
Online News,2018-06-21 00:00:00,12305
Online News,2018-06-22 00:00:00,9041
Online News,2018-06-23 00:00:00,4265
Online News,2018-06-24 00:00:00,5086
Online News,2018-06-25 00:00:00,11862
Online News,2018-06-26 00:00:00,11623
Online News,2018-06-27 00:00:00,10691
Online News,2018-06-28 00:00:00,10204
Online News,2018-06-29 00:00:00,9288
Online News,2018-06-30 00:00:00,3963
Online News,2018-07-01 00:00:00,3850
Online News,2018-07-02 00:00:00,8745
Online News,2018-07-03 00:00:00,9692
Online News,2018-07-04 00:00:00,7137
Online News,2018-07-05 00:00:00,8520
Online News,2018-07-06 00:00:00,8104
Online News,2018-07-07 00:00:00,4052
Online News,2018-07-08 00:00:00,3602
Online News,2018-07-09 00:00:00,9962
Online News,2018-07-10 00:00:00,13639
Online News,2018-07-11 00:00:00,11054
Online News,2018-07-12 00:00:00,7750
